0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.06168065592646599,0.21505331993103027,-0.016987338662147522,-0.06354669481515884,-0.07257761061191559,0.012192346155643463,0.04709731042385101,-0.2403867095708847,0.017344653606414795,0.007360510528087616,0.14570343494415283,-0.06128831207752228,0.1651189625263214,0.0
-0.06510194391012192,0.210199236869812,-0.01714615523815155,-0.0629841759800911,-0.07251967489719391,0.016454339027404785,0.04866524785757065,-0.23557813465595245,0.015377268195152283,0.005374029278755188,0.14467699825763702,-0.06487295031547546,0.1643787920475006,0.0
-0.06385362893342972,0.21222388744354248,-0.017313003540039062,-0.06401599943637848,-0.07358548045158386,0.013722896575927734,0.04745110869407654,-0.2378249615430832,0.01732654869556427,0.005314648151397705,0.14551205933094025,-0.06287150084972382,0.16412405669689178,0.0
-0.06437300145626068,0.21078455448150635,-0.017633572220802307,-0.06273078918457031,-0.0729987770318985,0.01477891206741333,0.04824298620223999,-0.23665004968643188,0.015932898968458176,0.005533367395401001,0.1446373164653778,-0.0635560005903244,0.1641329526901245,0.0
-0.06435155123472214,0.20999425649642944,-0.01818665862083435,-0.06264498829841614,-0.07287752628326416,0.015958555042743683,0.04861164093017578,-0.2364732325077057,0.01534530520439148,0.0052568987011909485,0.14510202407836914,-0.06498732417821884,0.1642119288444519,0.0
-0.06283287703990936,0.21237841248512268,-0.01788446307182312,-0.06228093057870865,-0.07336829602718353,0.013582676649093628,0.04751911014318466,-0.23847538232803345,0.01624292880296707,0.006469041109085083,0.14459571242332458,-0.06266176700592041,0.16487087309360504,0.0
-0.06396777927875519,0.21079234778881073,-0.018197551369667053,-0.062406253069639206,-0.07247939705848694,0.016012758016586304,0.04789698123931885,-0.23687385022640228,0.015273064374923706,0.005954563617706299,0.1445530652999878,-0.0643220916390419,0.16470074653625488,0.0
-0.06045563891530037,0.21514543890953064,-0.01692311465740204,-0.06309296190738678,-0.07313382625579834,0.010042831301689148,0.046729303896427155,-0.2414100468158722,0.01747177541255951,0.006181865930557251,0.14612862467765808,-0.05994690954685211,0.16465792059898376,0.0
-0.06383717805147171,0.21239778399467468,-0.01745001971721649,-0.06240052729845047,-0.07263749092817307,0.013850174844264984,0.04761899262666702,-0.23759303987026215,0.015948381274938583,0.006344348192214966,0.14483463764190674,-0.06270703673362732,0.16486524045467377,0.0
-0.06409862637519836,0.21050554513931274,-0.017568469047546387,-0.06333344429731369,-0.07290738821029663,0.014837682247161865,0.048117347061634064,-0.23698605597019196,0.016449935734272003,0.004960596561431885,0.1452372968196869,-0.06364434212446213,0.16371169686317444,0.0
-0.06418102979660034,0.21031969785690308,-0.017979159951210022,-0.06276088207960129,-0.07304492592811584,0.016040802001953125,0.04816964268684387,-0.23617595434188843,0.015880562365055084,0.005449332296848297,0.14451801776885986,-0.06445175409317017,0.16423867642879486,0.0
-0.06385743618011475,0.21105432510375977,-0.017822161316871643,-0.06280937045812607,-0.07315222173929214,0.014868035912513733,0.048049986362457275,-0.2370232790708542,0.015800535678863525,0.005248799920082092,0.14504316449165344,-0.06361310929059982,0.16418348252773285,0.0
-0.06318280100822449,0.21086056530475616,-0.018352225422859192,-0.06225769966840744,-0.07318983972072601,0.016322456300258636,0.04736262559890747,-0.23685622215270996,0.015379521995782852,0.005826428532600403,0.1435040384531021,-0.06414677202701569,0.16461218893527985,0.0
-0.06346890330314636,0.210762619972229,-0.018521994352340698,-0.06418021768331528,-0.07401005923748016,0.01557709276676178,0.047888435423374176,-0.23736777901649475,0.016294419765472412,0.00549788773059845,0.14515924453735352,-0.06394971907138824,0.163625106215477,0.0
-0.06335076689720154,0.21292361617088318,-0.017277777194976807,-0.06231670826673508,-0.07281267642974854,0.012982338666915894,0.04717361927032471,-0.23747611045837402,0.016386806964874268,0.006037101149559021,0.14481079578399658,-0.062354348599910736,0.1645491123199463,0.0
-0.06397810578346252,0.20991668105125427,-0.01819603145122528,-0.06301451474428177,-0.07295644283294678,0.016510918736457825,0.04818278178572655,-0.23635061085224152,0.015752583742141724,0.005426809191703796,0.14436662197113037,-0.06444822251796722,0.16383513808250427,0.0
-0.06313413381576538,0.2112189680337906,-0.018183991312980652,-0.06272390484809875,-0.07330328226089478,0.014370143413543701,0.04767761379480362,-0.23717190325260162,0.01590915024280548,0.005260966718196869,0.1448974907398224,-0.06339109688997269,0.1638970971107483,0.0
-0.062068816274404526,0.2136950045824051,-0.017946869134902954,-0.06338533759117126,-0.07308433949947357,0.012176468968391418,0.04728242754936218,-0.2393273562192917,0.017573624849319458,0.005924314260482788,0.14602042734622955,-0.06114654242992401,0.16396452486515045,0.0
